,track_name,_description
86,7wHRNRxqJcCO9hzE025Iyf,either way arden jones either way midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity midartist_popularity presenttime  key7 
87,1jOBlsvKhdqjZAlUAia4Qz,lie lie lie joshua bassett lie lie lie midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence midalbum_popularity midartist_popularity presenttime pop postteen pop key7 
88,6QpPVC3iLIlWuYsm5kwIke,only a matter of time joshua bassett only a matter of time midpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity midartist_popularity presenttime pop postteen pop key7 
89,2wkAdxI86skFLB5GuFazzL,please come home for christmas elle king please come home for christmas midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity midartist_popularity presenttime  key4 
90,2aq7ZO1is1czoQAh076QFU,favorite time of year carrie underwood favorite time of year midpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity highartist_popularity presenttime pop country contemporary country country dawn oklahoma country key5 
91,5DcvtYRSttbPxSUfiPPrWi,the christmas song ben rector the christmas song lowpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence midalbum_popularity midartist_popularity presenttime pop rock neo mellow piano rock acoustic pop indiecoustica key7 
92,5CZ40GBx1sQ9agT82CLQCT,traitor olivia rodrigo traitor highpopularity highacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence highalbum_popularity highartist_popularity presenttime pop key3 
93,6iYMfxznTBlcVOgRHab2W0,"sunflower vol 6 harry styles sunflower, vol. 6 highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo highvalence highalbum_popularity highartist_popularity presenttime pop key7 "
94,1QNqrsNQ1JVLEwncov3lEY,true love feat lily allen p!nk true love (feat. lily allen) highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence highalbum_popularity highartist_popularity twothousands pop dance pop key9 
95,03mMSLEJCPoGJwQhHpN5y0,treat people with kindness harry styles treat people with kindness highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence highalbum_popularity highartist_popularity presenttime pop key5 
96,3Rkk851fZjIsglV2jbBPDd,humble and kind tim mcgraw humble and kind lowpopularity highacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo lowvalence lowalbum_popularity highartist_popularity presenttime country contemporary country country road key11 
97,1c8gk2PeTE04A1pIDH9YMk,rolling in the deep adele rolling in the deep highpopularity lowacousticness highdanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity twothousands pop uk pop pop soul british soul key8 
98,56pHllZT7QOacB0bP56ofx,chasing pavements adele chasing pavements highpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness midtempo lowvalence highalbum_popularity highartist_popularity twothousands pop uk pop pop soul british soul key5 
100,0qRR9d89hIS0MHRkQ0ejxX,rich girl daryl hall & john oates rich girl highpopularity midacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity highartist_popularity seventies rock classic rock mellow gold soft rock key5 
101,2IOFZdYYkFxEHVz1w34PoL,cherry harry styles cherry highpopularity midacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime pop key7 
102,6UelLqGlWMcVH1E5c4H7lY,watermelon sugar harry styles watermelon sugar highpopularity lowacousticness middanceability highenergy lowinstrumentalness midliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime pop key0 
104,6KOtheMY0KN4s9TrQHr9It,shes a rainbow the rolling stones she's a rainbow midpopularity midacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity highartist_popularity presenttime rock classic rock key10 
105,7eResoqEJJAVTkQYSqvO3P,that’s when feat keith urban taylor’s version from the vault taylor swift that’s when (feat. keith urban) (taylor’s version) (from the vault) midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime pop key5 
107,6KrIqEnamWzSuSLB0TfJ23,sunday morning feat josie dunne matoma sunday morning (feat. josie dunne) lowpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence lowalbum_popularity midartist_popularity presenttime pop dance pop electropop edm tropical house pop dance electro house pop edm key6 
109,7DNp5wliOrg01iwvUnL3Tn,im a survivor reba mcentire i'm a survivor midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence midalbum_popularity midartist_popularity twothousands country contemporary country country dawn oklahoma country key2 
111,7CEV9VwA8XO9wwxTXgYKvY,i and love and you the avett brothers i and love and you midpopularity highacousticness middanceability lowenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity midartist_popularity twothousands stomp and holler indie folk new americana key2 
112,3GKKCjidbffsVOECWr4eHV,no goodbyes léon no goodbyes midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness minormode lowspeechiness hightempo lowvalence midalbum_popularity midartist_popularity presenttime pop metropopolis key7 
113,3ArPxT1Wt0Yse6kBeCqGFe,hand in my pocket alanis morissette hand in my pocket midpopularity lowacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo highvalence midalbum_popularity midartist_popularity nineties pop rock canadian pop singersongwriter key0 
114,1Vv0MPcooEoQzVZYfKMgKW,ugly heart g.r.l. ugly heart highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo midvalence midalbum_popularity midartist_popularity presenttime pop dance pop postteen pop key9 
115,3SvqR7QTCJNJutRAXzEiHv,sittin at a bar  the original rehab sittin' at a bar - the original midpopularity lowacousticness highdanceability midenergy lowinstrumentalness highliveness highloudness minormode lowspeechiness slowtempo highvalence midalbum_popularity midartist_popularity nineties  key1 
116,4iAfHjwc9oAIXEXwYba8dG,welcome to the 60s nikki blonsky welcome to the 60's midpopularity midacousticness middanceability highenergy lowinstrumentalness highliveness highloudness minormode lowspeechiness midtempo highvalence midalbum_popularity midartist_popularity twothousands hollywood show tunes key2 
117,1KhrAWvLIjRlQIJtSTgvsi,would you go with me josh turner would you go with me highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo highvalence midalbum_popularity midartist_popularity twothousands country contemporary country country road key6 
118,6GfTYfb5eBLN1p1ByOsPmi,"wondering  from high school musical the musical the series olivia rodrigo wondering - from ""high school musical: the musical: the series"" midpopularity highacousticness middanceability midenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness hightempo lowvalence midalbum_popularity highartist_popularity presenttime pop key6 "
119,7aEtlGHoiPAfRB084NiDmx,beer never broke my heart luke combs beer never broke my heart highpopularity lowacousticness middanceability highenergy lowinstrumentalness lowliveness highloudness majormode lowspeechiness midtempo midvalence highalbum_popularity highartist_popularity presenttime country contemporary country key1 
