,track_id,track_name,track_duration,track_popularity,track_releaseDate,track_uri,artist_name,artist_id,album_id,album_name
740,5NKsgVMYZA5Pl27VTlyZMH,Reynardine,271506,19,1969-12-01,spotify:track:5NKsgVMYZA5Pl27VTlyZMH,Fairport Convention,2LIdnZDzySb04oH40be1fR,1UzPFQjBLEzHPrATBJu7W3,Liege And Lief
741,0uQrFumpl9espZT1ZM3ziL,Don't (Just) Vote,311847,23,2020-10-27,spotify:track:0uQrFumpl9espZT1ZM3ziL,Cass McCombs,2iUVQjheBnvOt8vaBrxXJz,3ZvpjR0RFqSZDIG3Kc2CH1,Don't (Just) Vote
742,6KoY9LSh2CikzGMCH3jrVY,Wolf in the Breast,211200,0,1990-09-17,spotify:track:6KoY9LSh2CikzGMCH3jrVY,Cocteau Twins,5Wabl1lPdNOeIn0SQ5A1mp,37hHXJ7xas2Nb7Jbi8ip4E,Heaven Or Las Vegas (Remastered)
743,3pYB28IRzhtR5cHXLINchp,Can I Believe You,244186,59,2020-09-22,spotify:track:3pYB28IRzhtR5cHXLINchp,Fleet Foxes,4EVpmkEwrLYEg6jIsiPMIb,0lmjCPEcec2k6L7ysNIcd3,Shore
744,4HzVtretNOVOtPvZ73GIIC,Sea Of Wine,290253,30,2018-09-07,spotify:track:4HzVtretNOVOtPvZ73GIIC,Teleman,3wrtQM9ICPPeHwoc1GWiyV,1j1w1ilw59HTPuaRFOqc7Z,Family Of Aliens
745,49Ggs4jW9KyOL4nKUJRTiU,Nancy from Now On,234160,0,2012-04-30,spotify:track:49Ggs4jW9KyOL4nKUJRTiU,Father John Misty,2kGBy2WHvF0VdZyqiVCkDT,0LWZWpbbti288pCbYZdqPr,Fear Fun
746,2vZWK4M40kHmtREKT9qxk0,Parliament Blue,112404,32,2015-07-21,spotify:track:2vZWK4M40kHmtREKT9qxk0,luxury elite,28516pIwBLUO62yBiLAfdI,6aLiYlTMrvma12uDvlRm5x,World Class
747,1kQjyyI3xZixtByFizxlXE,Ndokulandela,231625,52,2017-05-12,spotify:track:1kQjyyI3xZixtByFizxlXE,Bongeziwe Mabandla,5upKpIk1pv0hh0u2gwblwy,1fXiO7h7dDB3RBG13jLh8A,Mangaliso
748,7lLAOmWJXM9csJkg3yKrph,Nothing's Over,264146,35,2016-08-12,spotify:track:7lLAOmWJXM9csJkg3yKrph,Young the Giant,4j56EQDQu5XnL7R3E9iFJT,3PYk8e7eo2t5CA1Y3AvhaG,Home of the Strange
749,57RA3JGafJm5zRtKJiKPIm,Are You Bored Yet? (feat. Clairo),178000,78,2019-03-22,spotify:track:57RA3JGafJm5zRtKJiKPIm,Wallows,0NIPkIjTV8mB795yEIiPYL,7eed9MBclFPjjjvotfR2e9,Nothing Happens
750,4zpU5ul8vFScLD2o2U695R,Ain't Gonna Call,219130,42,2018-05-18,spotify:track:4zpU5ul8vFScLD2o2U695R,Yellow House,2jAzx88tHo3KNYauXANisl,76YYS0e7S2WM4i97tdCRY0,Sermon on Desire
